,xinxi,cutted_xinxi
1269,天津南开区荣迁东里每天早晨都有摊贩占道经营，上班时间车子开不出去，幼儿园送孩子困难，同时存在严重安全隐患，希望能想办法解决,天津 南开区 荣迁 东里 每天 早晨 都 有 摊贩 占 道 经营 ， 上班时间 车子 开 不 出去 ， 幼儿园 送 孩子 困难 ， 同时 存在 严重 安全隐患 ， 希望 能想 办法 解决
1270,天津市津南区开拓道与海尔大道附近有大量工程垃圾被放在路边影响市容环境请有关部门及时处理!,天津市 津南区 开拓 道 与 海尔 大道 附近 有 大量 工程 垃圾 被 放在 路边 影响 市容 环境 请 有关 部门 及时处理 !
1271,天津市河北区康桥里市场附近近期有群众反映，在附近的垃圾桶经常能看到用过的针管，连带着针头，疑似附近有吸毒人员，给该区域住户带来极大安全隐患，望有关执法部门介入调查取证。,天津市 河北区 康桥 里 市场 附近 近期 有 群众反映 ， 在 附近 的 垃圾桶 经常 能 看到 用过 的 针管 ， 连带 着 针头 ， 疑似 附近 有 吸毒 人员 ， 给 该 区域 住户 带来 极大 安全隐患 ， 望 有关 执法 部门 介入 调查取证 。
1272,天津南开区彩霞里，小区存在私搭乱建，不仅圈占公共地方占为己有，居民很是反感，更是影响市容，希望有关部门能够治理,天津 南开区 彩霞 里 ， 小区 存在 私搭乱建 ， 不仅 圈占 公共 地方 占为己有 ， 居民 很 是 反感 ， 更是 影响 市容 ， 希望 有关 部门 能够 治理
1273,天津北辰区旷世新城南侧和东侧 ， 新铺的水泥路面平整度极差 坑洼不平，而且没有路灯且电线杆立在马路中间，严重影响附近居民的出行极易出现事故。,天津 北辰区 旷世 新城 南侧 和 东侧   ，   新铺 的 水泥 路面 平整度 极差   坑洼 不平 ， 而且 没有 路灯 且 电线杆 立在 马路 中间 ， 严重 影响 附近 居民 的 出行 极易 出现 事故 。
1274,东丽区雪莲南路地道整条路长年路灯不亮，给居住在周围的老年人出行带来诸多安全隐患，目前正是严冬这里晚上六点以后就黑了老年人不能出行，影响附近居民出行。,东丽区 雪莲 南路 地道 整条路 长年 路 灯不亮 ， 给 居住 在 周围 的 老年人 出行 带来 诸多 安全隐患 ， 目前 正是 严冬 这里 晚上 六点 以后 就 黑 了 老年人 不能 出行 ， 影响 附近 居民 出行 。
1275,何时能修通登州路让老百姓能顺利到达登州路地铁站？现在人们只能从一堆土道里翻越草丛、积水、结冰的泥地到地铁站这何时能改变？下雪滑雪，下雨游泳，修个地铁站这么漂亮，可要坐地铁还要过草地爬大山长征是不是有点问题啊？该路段还经常有汽车硬要开进去导致周边泥泞混乱不堪。,何时能 修通 登州 路 让 老百姓 能 顺利 到达 登州 路 地铁站 ？ 现在 人们 只能 从 一堆 土道 里 翻越 草丛 、 积水 、 结冰 的 泥 地 到 地铁站 这 何时能 改变 ？ 下雪 滑雪 ， 下雨 游泳 ， 修个 地铁站 这么 漂亮 ， 可 要 坐地铁 还要 过 草地 爬 大山 长征 是不是 有点 问题 啊 ？ 该 路段 还 经常 有 汽车 硬要 开进去 导致 周边 泥泞 混乱 不堪 。
1276, 北辰绿道公园（沿外环线至北辰郊野公园）是民心工程，本应成为百姓锻炼休闲的好去处，但之前设置的拦阻机动车的石柱被人都拔了，机动车畅行无阻，一是为锻炼的百姓带来重大安全隐患，二是容易把绿道破坏。请有关部门关注。,  北辰 绿道 公园 （ 沿 外环线 至 北辰 郊野 公园 ） 是 民心工程 ， 本应 成为 百姓 锻炼 休闲 的 好去处 ， 但 之前 设置 的 拦阻 机动车 的 石柱 被 人 都 拔 了 ， 机动车 畅行无阻 ， 一是 为 锻炼 的 百姓 带来 重大 安全隐患 ， 二是 容易 把 绿道 破坏 。 请 有关 部门 关注 。
1277,武清区泉兴路杨村二小北边路口没有红绿灯，隔三差五就有交通事故。这个附近都是学校，每天有很多学生走路上学，但是有很多汽车到路口不减速，没有红绿灯，大家无法按信号灯行驶，十分危险，建议安装红绿灯。,武清区 泉兴路 杨村 二小 北边 路口 没有 红绿灯 ， 隔三差五 就 有 交通事故 。 这个 附近 都 是 学校 ， 每天 有 很多 学生 走路 上学 ， 但是 有 很多 汽车 到 路口 不 减速 ， 没有 红绿灯 ， 大家 无法 按 信号灯 行驶 ， 十分 危险 ， 建议 安装 红绿灯 。
1278,据群众反映，在829公交车快到世通大厦站，发现车上有两名戴口罩的男子，一个戴的是深蓝色的棉布口罩，一个戴的是一次性口罩，戴一次性口罩的男子面对着我站着，由戴棉布口罩的男子实施摸包。好在我有所察觉，伸手摸包，正好摸到戴深蓝色口罩的手指，他慌张的看着我。我下车后两名男子也尾随我下车。提醒广大市民，临近年根，出门注意财产安全。希望有关部门加强管理。,据 群众反映 ， 在 829 公交车 快到 世通 大厦 站 ， 发现 车上 有 两名 戴 口罩 的 男子 ， 一个 戴 的 是 深蓝色 的 棉布 口罩 ， 一个 戴 的 是 一次性 口罩 ， 戴 一次性 口罩 的 男子 面对 着 我 站 着 ， 由 戴 棉布 口罩 的 男子 实施 摸包 。 好 在 我 有所 察觉 ， 伸手 摸包 ， 正好 摸 到 戴 深蓝色 口罩 的 手指 ， 他 慌张 的 看着 我 。 我 下车 后 两名 男子 也 尾随 我 下车 。 提醒 广大 市民 ， 临近 年根 ， 出门 注意 财产 安全 。 希望 有关 部门 加强 管理 。
1279,天津市河东区靖江路与卫国道交口，此路段靖江路是单行路，经常有机动车逆行驶入靖江路，存在安全隐患，希望部门加强治理,天津市 河东区 靖江 路 与 卫国 道 交口 ， 此 路段 靖江 路 是 单行 路 ， 经常 有 机动车 逆行 驶入 靖江 路 ， 存在 安全隐患 ， 希望 部门 加强 治理
1280,天津市河西区858通达尚城附近，超杰名人会馆门口的指示牌被大风连根拔起，左侧倾倒，把旁边的驴肉火烧平房压坏了，还夹着两辆汽车！对过往的行人和车辆造成不便与安全问题！希望尽快处理下安全隐患！ ???,天津市 河西区 858 通达 尚城 附近 ， 超杰 名人 会馆 门口 的 指示牌 被 大风 连根拔起 ， 左侧 倾倒 ， 把 旁边 的 驴肉 火烧 平房 压坏 了 ， 还 夹 着 两辆 汽车 ！ 对 过往 的 行人 和 车辆 造成 不便 与 安全 问题 ！ 希望 尽快 处理 下 安全隐患 ！   ? ? ?
1281,天津市红桥区佳园里小区乱摆乱放，周围的佳园里菜市场也是垃圾杂物往小区里堆放，造成环境差，小区道路被占的情况，望相关部门予以处理,天津市 红桥区 佳 园里 小区 乱 摆 乱放 ， 周围 的 佳 园里 菜市场 也 是 垃圾 杂物 往 小区 里 堆放 ， 造成 环境 差 ， 小区 道路 被 占 的 情况 ， 望 相关 部门 予以 处理
1282,南开区简阳路辅路和天拖北道交口，便道堆积石墩，而且有的石墩积压在盲道上，万一盲人走到这里有安全隐患，十分危险，希望相关部门了解情况，消除隐患,南开区 简阳 路 辅路 和 天 拖 北道 交口 ， 便 道 堆积 石墩 ， 而且 有 的 石墩 积压 在 盲道 上 ， 万一 盲人 走 到 这里 有 安全隐患 ， 十分 危险 ， 希望 相关 部门 了解 情况 ， 消除隐患
1283,天津市河北区王串场五号路与富强道交口，交通信号灯，安装很久了，但是一直未启用，此路口紧邻菜市场很乱，存在安全隐患，希望有关部门加强治理,天津市 河北区 王 串场 五号 路 与 富强 道 交口 ， 交通 信号灯 ， 安装 很久 了 ， 但是 一直 未 启用 ， 此 路口 紧邻 菜市场 很 乱 ， 存在 安全隐患 ， 希望 有关 部门 加强 治理
1284,河西区郁江道附近护城河冰面上惊现多个共享单车。大部分都被冻上了，天气升温后，单车相继沉入水底！希望有关部门进行处理。,河西区 郁江 道 附近 护城河 冰面 上 惊现 多个 共享 单车 。 大部分 都 被 冻 上 了 ， 天气 升温 后 ， 单车 相继 沉入 水底 ！ 希望 有关 部门 进行 处理 。
1285,津南区祺林园一处下水道堵塞，臭水外溢。影响居民出行。希望有关部门能及时解决这些问题，还居民一个干净、整洁的居住环境！,津南区 祺 林园 一处 下水道 堵塞 ， 臭水 外溢 。 影响 居民 出行 。 希望 有关 部门 能 及时 解决 这些 问题 ， 还 居民 一个 干净 、 整洁 的 居住 环境 ！
1286, 天津市南开区 密云路一支路 泾水道附近，下大雨积水问题困扰多年，最深时已过腰部，昔阳里附近变电室都被淹，小区内车辆已经淹没到方向盘，昔阳里一楼住户室内已经淹没到小腿。每年都这样，即使雨不太大，雨停后，也从排污井往道路上反水，多年老百姓深受其扰。请领导能及时解决此问题。,  天津市 南开区   密云路 一支 路   泾水 道 附近 ， 下 大雨 积水 问题 困扰 多年 ， 最深 时 已 过 腰部 ， 昔阳 里 附近 变电 室 都 被淹 ， 小 区内 车辆 已经 淹没 到 方向盘 ， 昔阳 里 一楼 住户 室内 已经 淹没 到 小腿 。 每年 都 这样 ， 即使 雨不太大 ， 雨 停后 ， 也 从 排污 井往 道路 上 反水 ， 多年 老百姓 深受 其扰 。 请 领导 能 及时 解决 此 问题 。
1287,西青区程华欣苑小区15号楼2门302用户私改房屋结构进行群租，相对其他用户存在超负荷用电，和人员混杂存在火灾和安全事故隐患，而且私改成四个单间，四个独立厕所每当用水噪音极大，尤其夜里四个厕所彼间交替用水对整栋楼完成了极大的噪音污染，希望领导予以帮助，解决这个安全隐患和生活噪音污染问题,西青区 程华欣苑 小区 15 号楼 2 门 302 用户 私改 房屋结构 进行 群租 ， 相对 其他 用户 存在 超负荷 用电 ， 和 人员 混杂 存在 火灾 和 安全 事故隐患 ， 而且 私 改成 四个 单间 ， 四个 独立 厕所 每当 用水 噪音 极大 ， 尤其 夜里 四个 厕所 彼间 交替 用水 对 整栋 楼 完成 了 极大 的 噪音 污染 ， 希望 领导 予以 帮助 ， 解决 这个 安全隐患 和 生活 噪音 污染 问题
1288,据群众反应，南程林与北程林交界处，有一处废品收购站，那是一片数百家废品收购点和各类食品加工小作坊集聚区，容易引起火灾，火势一旦蔓延，后果难料。希望有关部门进行处理。,据 群众 反应 ， 南程林 与 北程林 交界处 ， 有 一处 废品收购 站 ， 那 是 一片 数百家 废品收购 点 和 各类 食品 加工 小作坊 集聚 区 ， 容易 引起 火灾 ， 火势 一旦 蔓延 ， 后果 难料 。 希望 有关 部门 进行 处理 。
1289,据群众反应，程林东里小区，各式违建随处可见，侵占了绿地公园、人行道，甚至连道路也给占了，消防通道都堵住了。希望有关部门进行处理。,据 群众 反应 ， 程林 东里 小区 ， 各式 违建 随处可见 ， 侵占 了 绿地 公园 、 人行道 ， 甚至 连 道路 也 给 占 了 ， 消防通道 都 堵住 了 。 希望 有关 部门 进行 处理 。
1290, 武清区泉兴路杨村二小北边路口没有红绿灯，隔三差五就有交通事故。这个附近都是学校，每天有很多学生走路上学，但是有很多汽车到路口不减速，没有红绿灯，大家无法按信号灯行驶，十分危险，建议安装红绿灯，谢谢！,  武清区 泉兴路 杨村 二小 北边 路口 没有 红绿灯 ， 隔三差五 就 有 交通事故 。 这个 附近 都 是 学校 ， 每天 有 很多 学生 走路 上学 ， 但是 有 很多 汽车 到 路口 不 减速 ， 没有 红绿灯 ， 大家 无法 按 信号灯 行驶 ， 十分 危险 ， 建议 安装 红绿灯 ， 谢谢 ！
1291,去年夏天街办事处和综合执法在红桥区五中后大道老五浴池拆违后堆放在马路两侧的垃圾和堆物至今也没清理，严重影响周围居民生活，交通隐患和消防隐患问题严重。请领导受累督促并解决。,去年 夏天 街 办事处 和 综合执法 在 红桥区 五中 后 大道 老五 浴池 拆 违后 堆放 在 马路 两侧 的 垃圾 和 堆物 至今 也 没 清理 ， 严重 影响 周围 居民 生活 ， 交通 隐患 和 消防 隐患 问题 严重 。 请 领导 受累 督促 并 解决 。
1292,天津市河西区858通达尚城附近，超杰名人会馆门口的指示牌被大风连根拔起，左侧倾倒，把旁边的驴肉火烧平房压坏了，还夹着两辆汽车！对过往的行人和车辆造成不便与安全问题！希望尽快处理下安全隐患！ ???,天津市 河西区 858 通达 尚城 附近 ， 超杰 名人 会馆 门口 的 指示牌 被 大风 连根拔起 ， 左侧 倾倒 ， 把 旁边 的 驴肉 火烧 平房 压坏 了 ， 还 夹 着 两辆 汽车 ！ 对 过往 的 行人 和 车辆 造成 不便 与 安全 问题 ！ 希望 尽快 处理 下 安全隐患 ！   ? ? ?
1293,近日，春节期间在河东区瑞金路瑞金里小区垃圾箱旁堆有大量的装修及生活垃圾，严重影响市容环境卫生，如遇明火还易引发火灾，望有关部门尽快治理此事,近日 ， 春节 期间 在 河东区 瑞金路 瑞金 里 小区 垃圾箱 旁堆 有 大量 的 装修 及 生活 垃圾 ， 严重 影响 市容 环境卫生 ， 如遇 明火 还易 引发 火灾 ， 望 有关 部门 尽快 治理 此事
